Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
BMP10		4	4	811	0.5%	No
CDIP1		1	1	122	0.8%	No
RBMS3		8	8	1332	0.6%	No
PRICKLE4		4	4	962	0.4%	No
ZNF330		6	6	926	0.6%	No
SGF29		5	5	1048	0.5%	No
MDFIC		2	2	316	0.6%	No
HPGDS		2	2	629	0.3%	No
TRBC2		2	2	687	0.3%	No
PSAT1		3	3	506	0.6%	No
ZNF544		11	8	1148	0.7%	No
APEX2		9	9	1454	0.6%	No
TMEM132E		13	11	808	1.4%	No
XKR5		1	1	507	0.2%	No
MRM2		4	4	368	1.1%	No
ZNF517		5	5	642	0.8%	No
CLEC4G		2	2	723	0.3%	No
PGAP2		5	5	731	0.7%	No
UBQLN2		6	5	503	1.0%	No
RBMX		6	6	857	0.7%	No
LINGO4		13	13	1454	0.9%	No
RAB30		1	1	507	0.2%	No
UBQLN1		5	5	945	0.5%	No
SCHIP1		1	1	100	1.0%	No
LOC389602		1	1	216	0.5%	No
A1CF		15	14	1454	1.0%	No
CDKAL1		12	11	1611	0.7%	No
LAX1		8	8	635	1.3%	No
CYP2W1		5	5	1274	0.4%	No
NSD3		24	19	1630	1.2%	Yes
MKS1		3	3	819	0.4%	No
TTC19		1	1	507	0.2%	No
STK32A		10	8	1047	0.8%	No
SULT1C3		7	7	1216	0.6%	No
RALGAPA1		14	13	1519	0.9%	No
CEP95		11	11	1389	0.8%	No
PNPT1		7	6	731	0.8%	No
ANGPTL5		3	3	913	0.3%	No
YTHDF3		5	5	628	0.8%	No
SPTA1		61	51	1676	3.0%	No
SPRR3		1	1	122	0.8%	No
SPTAN1		23	22	1611	1.4%	No
SPRR2B		1	1	507	0.2%	No
PTPN22		19	17	1748	1.0%	No
FBXW2		14	11	1332	0.8%	Yes
SPRR2D		2	2	629	0.3%	No
SPRR2F		1	1	507	0.2%	No
SREBF1		7	7	406	1.7%	No
ZNF366		8	8	1374	0.6%	No
AKR1D1		2	2	122	1.6%	No
SPTBN1		16	16	1496	1.1%	No
SPTB		25	23	1486	1.5%	No
SQLE		3	3	845	0.4%	No
SPTBN2		21	20	1454	1.4%	No
SRD5A1		6	6	1116	0.5%	No
SRC		12	9	1148	0.8%	Yes
SRI		1	1	190	0.5%	No
SRP72		7	7	990	0.7%	No
SRP68		3	3	723	0.4%	No
INTS1		11	11	1454	0.8%	No
SRP54		2	2	57	3.5%	No
SFTA3		2	2	629	0.3%	No
SRF		4	4	629	0.6%	No
SREBF2		17	14	1619	0.9%	No
ARGFX		7	7	974	0.7%	No
SRM		8	8	1454	0.6%	No
SRMS		8	5	945	0.5%	No
SRP19		1	1	100	1.0%	No
SRP14		3	3	877	0.3%	No
PNLDC1		8	8	1025	0.8%	No
PNN		13	13	1554	0.8%	No
SSB		4	4	767	0.5%	No
PNMT		2	2	269	0.7%	No
KCTD13		2	2	222	0.9%	No
OR1C1		2	2	122	1.6%	No
ASPHD1		5	5	528	0.9%	No
OR1A2		3	3	607	0.5%	No
SRPK2		9	8	1047	0.8%	No
SRPK1		7	7	1152	0.6%	No
SRPRA		10	7	629	1.1%	No
TRIM21		6	6	1035	0.6%	No
PNLIP		8	8	1116	0.7%	No
PNLIPRP1		11	11	1315	0.8%	No
RO60		3	3	819	0.4%	No
PCNX4		2	2	396	0.5%	No
MRPS25		1	1	216	0.5%	No
SSTR1		1	1	122	0.8%	No
PODXL		6	6	320	1.9%	No
ACTR6		3	3	936	0.3%	No
SST		2	2	629	0.3%	No
SSTR3		6	6	1058	0.6%	No
NOM1		5	5	845	0.6%	No
LSMEM1		1	1	507	0.2%	No
POLA1		13	11	1364	0.8%	No
SSTR2		5	5	868	0.6%	No
COMMD2		3	3	877	0.3%	No
RPL26L1		1	1	65	1.5%	No
ZNF706		1	1	216	0.5%	No
ITPRID2		9	9	1332	0.7%	No
UBL3		3	3	723	0.4%	No
NAA20		2	2	507	0.4%	No
SEPTIN5		1	1	239	0.4%	Yes
GOLGA7		3	3	273	1.1%	No
SEPTIN4		10	10	1221	0.8%	No
SSR2		4	4	825	0.5%	No
SAR1B		1	1	216	0.5%	No
SSR1		4	4	945	0.4%	No
TRIM17		7	7	1274	0.5%	No
SSR4		2	2	746	0.3%	No
ANGPTL4		3	3	551	0.5%	No
SSRP1		9	9	1084	0.8%	No
SS18		2	2	370	0.5%	Yes
POLR2A		16	15	1554	1.0%	No
POLR2B		10	10	1321	0.8%	No
MAGEA1		1	1	507	0.2%	No
DENND2B		12	11	1619	0.7%	No
POLR2C		1	1	239	0.4%	No
POLR2D		2	2	57	3.5%	No
MAGEA3		3	3	723	0.4%	No
DNAI2		11	11	1321	0.8%	No
PHF11		3	3	635	0.5%	No
KCTD3		14	14	1676	0.8%	No
RLIM		9	9	1125	0.8%	No
IRAK4		5	5	1084	0.5%	No
CEP83		4	4	122	3.3%	No
SSTR5		2	2	697	0.3%	No
POLB		2	2	723	0.3%	No
POLD1		10	10	1398	0.7%	Yes
RNFT1		4	4	757	0.5%	No
SSTR4		2	2	361	0.6%	No
POLD2		1	1	507	0.2%	No
POLE		44	39	2429	1.6%	Yes
SSX1		1	1	239	0.4%	Yes
COPS4		1	1	216	0.5%	No
CBY3		1	1	30	3.3%	No
POLE2		2	2	723	0.3%	No
SSX4		1	1	507	0.2%	Yes
POLG		8	8	1238	0.6%	Yes
SSX5		2	2	687	0.3%	No
POLH		7	7	1238	0.6%	No
STAR		4	4	506	0.8%	No
MAGEA11		7	7	1554	0.5%	No
STAT2		10	10	1188	0.8%	Yes
POLR2L		1	1	216	0.5%	No
MAGEA12		17	16	1365	1.2%	No
POLRMT		10	10	731	1.4%	No
STAT1		9	9	1238	0.7%	Yes
MAGEB1		10	9	1332	0.7%	No
STAT4		18	18	1454	1.2%	Yes
POMC		1	1	122	0.8%	No
MAGEB2		8	7	1338	0.5%	No
STAT3		18	18	2221	0.8%	Yes
PON1		2	2	629	0.3%	No
ZFP57		5	5	628	0.8%	No
CHCHD2		2	2	723	0.3%	No
INSIG2		4	4	513	0.8%	No
HSD17B12		1	1	216	0.5%	No
DYNC1LI1		2	2	455	0.4%	No
A4GNT		1	1	65	1.5%	No
MAGEA4		4	4	586	0.7%	No
POLR2E		3	3	406	0.7%	No
CERCAM		3	3	629	0.5%	No
POLR2F		4	4	877	0.5%	No
ING4		3	3	903	0.3%	No
POLR2G		1	1	180	0.6%	No
ST14		4	4	1116	0.4%	No
MAGEA6		2	2	281	0.7%	No
POLR2H		4	4	735	0.5%	No
ST13		4	4	528	0.8%	No
MRNIP		3	3	762	0.4%	No
MAGEA8		4	4	664	0.6%	No
POLR2J		4	4	609	0.7%	No
STAC		11	11	1238	0.9%	No
PAGE5		7	6	1215	0.5%	No
MAGEA10		9	9	1454	0.6%	No
STAU1		12	12	1432	0.8%	No
HSPA13		5	5	854	0.6%	No
POU2F1		7	7	1264	0.6%	No
STC1		1	1	507	0.2%	No
POU2F2		12	11	1238	0.9%	No
MAN1A1		5	5	925	0.5%	No
MAN2A2		10	9	1519	0.6%	No
SULT1E1		3	3	746	0.4%	No
MAN2C1		5	5	731	0.7%	No
POU3F2		7	7	1105	0.6%	No
STIM1		5	5	1025	0.5%	No
MAN2A1		8	8	1238	0.6%	No
POU3F3		1	1	122	0.8%	No
SLC45A2		6	6	1116	0.5%	No
SDF4		2	2	746	0.3%	No
JPT1		4	4	731	0.5%	No
MRTO4		1	1	216	0.5%	No
ZNF580		2	2	338	0.6%	No
SERPINA10		3	3	629	0.5%	No
STAT5B		17	17	2156	0.8%	Yes
MAGEB3		6	6	1184	0.5%	No
PON2		3	3	694	0.4%	No
MAGEB4		8	8	1432	0.6%	No
PON3		11	11	1554	0.7%	No
STAT5A		13	13	2091	0.6%	Yes
POR		5	5	1035	0.5%	No
STATH		1	1	122	0.8%	No
STAT6		8	8	1454	0.6%	Yes
MAK		1	1	507	0.2%	No
POU1F1		1	1	216	0.5%	No
MAL		1	1	122	0.8%	No
CXORF66		4	4	845	0.5%	No
POU5F1		4	4	709	0.6%	Yes
AURKA		10	10	1677	0.6%	Yes
MAP1A		37	32	1611	2.0%	No
STK10		16	12	1215	1.0%	No
MAP1B		20	18	1576	1.1%	No
POU5F1B		4	4	302	1.3%	No
CDKL5		14	10	1454	0.7%	No
ZNF391		3	3	819	0.4%	No
AURKC		4	4	1116	0.4%	No
POU6F1		2	2	507	0.4%	No
MAP2		39	36	1611	2.2%	No
PPA1		11	11	1332	0.8%	No
STK11		24	24	1871	1.3%	Yes
MAP4		4	3	402	0.7%	No
CSMD1		48	43	1611	2.7%	No
PPARA		3	3	629	0.5%	No
MAP6		6	4	395	1.0%	No
VPS28		3	3	629	0.5%	No
EGFL7		2	2	694	0.3%	Yes
C3ORF18		3	3	868	0.3%	No
DCTN4		11	11	1331	0.8%	No
DBR1		8	8	788	1.0%	No
MYO15A		33	30	1646	1.8%	No
CYB5R4		7	7	1238	0.6%	No
MAN2B1		9	8	1090	0.7%	No
POU3F4		11	11	1581	0.7%	No
SERPINB11		4	4	586	0.7%	No
STK3		4	4	793	0.5%	No
MANBA		11	10	1238	0.8%	No
POU4F1		4	4	926	0.4%	No
NEK4		9	9	831	1.1%	No
SERPINB12		5	5	1025	0.5%	No
POU4F2		9	9	1554	0.6%	No
MAOA		7	7	1338	0.5%	No
POU4F3		4	4	729	0.5%	No
STK4		9	9	1119	0.8%	No
MAOB		6	6	1338	0.4%	No
PPEF2		7	5	1084	0.5%	No
PPAT		4	4	1116	0.4%	No
MARK3		4	4	968	0.4%	No
MARS1		12	12	1012	1.2%	No
MAS1		8	8	1519	0.5%	No
PPBP		2	2	222	0.9%	No
MAT1A		1	1	507	0.2%	No
MAT2A		3	3	609	0.5%	No
PPEF1		14	14	1519	0.9%	No
MATK		5	5	1274	0.4%	No
CTSA		8	7	992	0.7%	No
MATN1		3	3	819	0.4%	No
HSD17B11		3	2	122	1.6%	No
TUBE1		1	1	507	0.2%	No
TUBD1		10	10	1432	0.7%	No
PLEKHO1		3	3	316	0.9%	No
LEF1		1	1	216	0.5%	Yes
HAO2		3	3	788	0.4%	No
PPARD		5	5	686	0.7%	No
SULT1A2		5	5	1149	0.4%	No
MAPT		7	7	1332	0.5%	No
PPARG		11	11	1554	0.7%	Yes
UMODL1		17	15	1554	1.0%	No
MED1		10	10	1012	1.0%	No
RSPH1		5	5	999	0.5%	No
MARK1		16	16	1389	1.2%	No
OR13H1		1	1	122	0.8%	No
PPID		2	2	687	0.3%	No
MAZ		3	3	528	0.6%	No
GAL3ST3		1	1	216	0.5%	No
PYGO2		1	1	122	0.8%	No
SIGLEC10		13	13	1611	0.8%	No
MBD1		10	10	1149	0.9%	No
MBL2		8	8	1658	0.5%	No
MBNL1		7	7	825	0.8%	No
WDR53		6	6	882	0.7%	No
MBP		2	2	312	0.6%	No
TPSB2		1	1	180	0.6%	No
MC1R		1	1	216	0.5%	No
HSPA14		7	7	1249	0.6%	No
PPIC		3	3	406	0.7%	No
DCXR		2	2	338	0.6%	No
GPN3		1	1	216	0.5%	No
TCEAL9		2	2	339	0.6%	No
CRBN		2	2	429	0.5%	Yes
RSL24D1		1	1	122	0.8%	No
MATN2		14	14	1554	0.9%	No
PPIB		5	4	903	0.4%	No
MATN3		1	1	216	0.5%	No
MAX		5	5	1042	0.5%	Yes
NAV2		31	29	1619	1.8%	No
NAV1		10	10	913	1.1%	No
NAV3		39	32	1584	2.0%	No
HPS4		10	10	1113	0.9%	No
MC5R		2	2	316	0.6%	No
SOWAHD		3	3	27	11.1%	No
MCAM		7	7	1238	0.6%	No
PPL		13	13	1182	1.1%	No
WNT3A		6	6	1058	0.6%	No
MCC		11	9	1150	0.8%	No
PPM1A		3	3	370	0.8%	No
PPM1B		2	2	629	0.3%	No
PPM1G		6	4	825	0.5%	No
CHST6		2	2	338	0.6%	No
PPOX		9	9	1332	0.7%	No
MCF2		9	9	952	0.9%	No
PPP1CA		1	1	30	3.3%	No
HERC5		12	12	1374	0.9%	No
ZNF639		3	3	672	0.4%	No
MC4R		2	2	723	0.3%	No
CKLF		2	2	629	0.3%	No
RAPGEFL1		2	2	338	0.6%	No
IPO11		4	4	780	0.5%	No
PLCE1		22	19	1554	1.2%	No
NIN		19	19	1554	1.2%	Yes
MC2R		2	2	723	0.3%	No
MC3R		2	2	687	0.3%	No
ANKRD13A		2	2	406	0.5%	No
LMLN		7	7	765	0.9%	No
MCM3		2	1	190	0.5%	No
MCM4		14	13	1454	0.9%	No
MCM5		7	7	947	0.7%	No
MCM6		8	8	1123	0.7%	No
MCM7		9	8	1454	0.6%	No
CD46		4	4	1013	0.4%	No
ANTXR2		3	3	529	0.6%	No
TRIM71		9	9	1149	0.8%	No
BORCS5		2	2	629	0.3%	No
OLFM3		6	6	1047	0.6%	No
MCL1		13	13	1536	0.8%	Yes
FAM131A		1	1	507	0.2%	No
MCM2		4	4	1093	0.4%	No
MUCL1		1	1	100	1.0%	No
OR4X2		2	2	507	0.4%	No
OR4B1		1	1	180	0.6%	No
RAD9B		6	6	767	0.8%	No
MICU3		7	6	926	0.6%	No
SMCP		2	2	723	0.3%	No
ADAM11		9	9	1374	0.7%	No
DNAJB9		1	1	216	0.5%	No
OR4C46		5	5	731	0.7%	No
TPBGL		1	1	122	0.8%	No
UBE2J2		1	1	507	0.2%	No
MDM4		11	11	1412	0.8%	Yes
ME1		4	4	468	0.9%	No
MDH1		2	2	312	0.6%	No
MDH2		6	6	880	0.7%	No
CCDC166		4	4	365	1.1%	No
MDM2		10	10	1406	0.7%	Yes
CIB4		1	1	216	0.5%	No
C1ORF68		2	2	316	0.6%	No
ARSH		9	9	1619	0.6%	No
TDRD15		1	1	122	0.8%	No
XKR6		5	5	609	0.8%	No
TADA1		4	4	463	0.9%	No
CATSPER1		5	5	1135	0.4%	No
OR52W1		3	3	528	0.6%	No
RAB41		1	1	190	0.5%	No
DGAT2L6		6	5	1238	0.4%	No
PRAP1		3	3	338	0.9%	No
NSMCE2		2	2	507	0.4%	No
AKTIP		1	1	507	0.2%	No
CDH24		7	7	1146	0.6%	No
CDH22		7	7	1035	0.7%	No
GALNT17		16	16	1554	1.0%	No
OR2D3		4	4	629	0.6%	No
OR2D2		4	4	677	0.6%	No
EXOSC6		1	1	122	0.8%	Yes
C10ORF71		18	18	1294	1.4%	No
GMNC		2	2	338	0.6%	No
KLHL25		4	3	845	0.4%	No
GZF1		3	3	609	0.5%	No
ARAP3		14	14	1554	0.9%	No
TMEM168		4	4	618	0.6%	No
TMEM267		4	4	945	0.4%	No
MTMR14		4	4	913	0.4%	No
SH3GLB1		2	2	239	0.8%	No
MECR		1	1	122	0.8%	No
ZC2HC1A		4	4	609	0.7%	No
ABHD17B		2	2	338	0.6%	No
NDUFAF1		4	4	845	0.5%	No
TPRXL		2	2	239	0.8%	No
TFB1M		3	3	723	0.4%	No
PHF20L1		6	5	1035	0.5%	No
METTL9		4	4	780	0.5%	No
APH1A		6	6	955	0.6%	Yes
ZNF707		1	1	216	0.5%	No
RDH11		4	4	962	0.4%	No
FAM83H		12	11	1454	0.8%	No
DCLRE1C		12	12	1454	0.8%	No
SUSD1		5	4	179	2.2%	No
INF2		3	3	518	0.6%	No
ATG3		4	4	803	0.5%	No
POLR1E		2	2	149	1.3%	No
TMPRSS11B		7	7	1238	0.6%	No
TTC31		3	3	629	0.5%	No
SUDS3		8	8	1104	0.7%	No
ZDHHC6		2	2	507	0.4%	No
CIAO3		4	4	629	0.6%	No
GPR62		2	2	338	0.6%	No
OR52K2		4	4	797	0.5%	No
OR52M1		3	3	819	0.4%	No
KMT5B		12	12	1397	0.9%	No
LACTB2		1	1	239	0.4%	No
TRAPPC12		10	10	845	1.2%	No
RMDN1		4	4	1142	0.4%	No
ZDHHC9		4	4	674	0.6%	No
COQ4		1	1	190	0.5%	No
MRPS2		1	1	216	0.5%	No
SBDS		3	3	723	0.4%	Yes
UTP11		1	1	216	0.5%	No
PSMA8		1	1	100	1.0%	No
NAT9		3	3	746	0.4%	No
RIBC2		1	1	122	0.8%	No
KIF26A		7	6	1025	0.6%	No
ZNF337		10	10	1497	0.7%	No
NOC2L		6	5	604	0.8%	No
ABCA12		24	23	1611	1.4%	No
CFAP100		8	8	1127	0.7%	No
GIMAP2		2	2	723	0.3%	No
RSL1D1		4	4	903	0.4%	No
LNP1		3	3	913	0.3%	No
CLHC1		5	5	780	0.6%	No
MTG2		4	4	903	0.4%	No
SSX2IP		5	5	1274	0.4%	No
RAB3IP		2	2	338	0.6%	No
RGS22		14	13	1519	0.9%	No
SPATA31A7		3	3	470	0.6%	No
SENP3		1	1	190	0.5%	No
PCDHB5		15	11	1454	0.8%	No
IFT172		13	11	1215	0.9%	No
GFY		4	3	338	0.9%	No
ZBTB20		11	7	1035	0.7%	Yes
TES		7	7	666	1.1%	No
GAPVD1		19	19	1484	1.3%	No
WFIKKN1		8	8	1364	0.6%	No
TRPC4AP		14	14	1116	1.3%	No
IGLV3-21		1	1	507	0.2%	No
SERBP1		1	1	122	0.8%	No
MSS51		7	6	852	0.7%	No
HDGFL1		1	1	216	0.5%	No
CFAP70		11	11	1303	0.8%	No
ANKRD54		6	6	512	1.2%	No
PHF19		3	3	787	0.4%	No
ZNF658		7	7	723	1.0%	No
DACH2		12	11	1454	0.8%	No
TTLL3		5	5	1035	0.5%	No
CHCHD1		2	2	723	0.3%	No
OR56A1		2	2	507	0.4%	No
CATSPER2		15	13	1576	0.8%	No
OR52B4		4	4	551	0.7%	No
SH2D1B		1	1	122	0.8%	No
TRAF3IP1		9	9	1238	0.7%	No
OR56A4		6	6	1158	0.5%	No
DCD		1	1	190	0.5%	No
IRF2BP1		4	4	723	0.6%	No
MBOAT1		3	3	903	0.3%	No
TANC2		16	16	1511	1.1%	No
PCLO		81	54	1611	3.4%	Yes
LDLRAP1		3	3	416	0.7%	No
WSB1		3	3	629	0.5%	No
IGLV11-55		2	2	429	0.5%	No
HDHD5		3	3	845	0.4%	No
CECR2		15	15	1554	1.0%	No
IGLV8-61		1	1	239	0.4%	No
SYT9		4	4	1035	0.4%	No
CCDC69		8	8	1238	0.6%	No
CD200R1		6	6	609	1.0%	No
REG3G		2	2	629	0.3%	No
KIFBP		9	9	1331	0.7%	No
FGFR1OP2		1	1	190	0.5%	No
IGLV5-45		3	3	370	0.8%	No
CEP112		14	12	1104	1.1%	No
EPC2		9	8	1084	0.7%	No
PRPF31		2	2	127	1.6%	No
TCTN3		5	5	557	0.9%	No
RFTN2		10	10	1272	0.8%	No
RBM33		11	10	925	1.1%	No
TRAC		1	1	100	1.0%	No
HTRA2		2	2	338	0.6%	No
LIX1		2	2	429	0.5%	No
DHRS7C		6	5	1035	0.5%	No
CHCHD4		1	1	122	0.8%	No
EML4		13	12	1432	0.8%	Yes
LRIT1		4	4	686	0.6%	No
POLM		3	3	541	0.6%	No
PYGO1		4	4	518	0.8%	No
TMEM121B		1	1	180	0.6%	No
WIPI2		7	7	999	0.7%	No
TOR2A		4	4	359	1.1%	No
LDLRAD3		6	6	845	0.7%	No
MAT2B		1	1	507	0.2%	No
MRGPRX2		4	4	767	0.5%	No
MRGPRX4		7	7	586	1.2%	No
MRGPRX3		6	5	729	0.7%	No
TVP23C		4	4	1116	0.4%	No
PLD6		3	3	609	0.5%	No
FLCN		4	4	451	0.9%	Yes
SLC2A12		2	2	316	0.6%	No
ZNF729		15	15	1459	1.0%	No
ARHGAP27		6	6	849	0.7%	No
OR2B3		3	3	629	0.5%	No
OR2J1		2	2	361	0.6%	No
OR2J3		5	5	967	0.5%	No
STX3		7	7	1332	0.5%	No
STRN		4	4	687	0.6%	Yes
ZNF385C		2	2	507	0.4%	No
STX1A		3	3	312	1.0%	No
SULT1C2		2	2	361	0.6%	No
STX4		5	5	503	1.0%	No
STXBP1		5	5	723	0.7%	No
SAMD14		8	8	857	0.9%	No
STX5		4	4	506	0.8%	No
STXBP3		5	5	890	0.6%	No
STXBP2		7	7	1058	0.7%	No
STYX		4	4	1116	0.4%	No
OR9A4		1	1	239	0.4%	No
SUPT6H		26	23	1489	1.5%	No
SUPT5H		10	10	1052	1.0%	No
GALNTL6		5	5	1035	0.5%	No
NIM1K		2	2	629	0.3%	No
SUOX		4	4	697	0.6%	No
IGLL5		3	3	541	0.6%	No
SULT2B1		2	2	222	0.9%	No
SULT2A1		3	3	290	1.0%	No
VPS37D		1	1	216	0.5%	No
METTL27		5	5	823	0.6%	No
SVIL		16	15	1454	1.0%	No
PPP1R7		2	2	723	0.3%	No
CHST13		1	1	122	0.8%	No
PPP1R3D		3	3	459	0.7%	No
SUV39H1		3	3	338	0.9%	No
SUPV3L1		2	2	165	1.2%	No
PPP1CB		1	1	216	0.5%	Yes
PPP1CC		2	2	338	0.6%	No
PPP1R1A		7	7	1238	0.6%	No
SURF1		2	2	312	0.6%	No
ABCC8		19	17	1274	1.3%	No
SURF4		1	1	239	0.4%	No
PPP1R2		2	2	338	0.6%	No
SURF2		1	1	100	1.0%	No
PPP1R3A		18	13	1554	0.8%	No
SURF6		3	3	697	0.4%	No
PPP1R3C		2	2	396	0.5%	No
CNKSR3		6	6	1135	0.5%	No
MED22		3	3	403	0.7%	No
SYK		10	10	1714	0.6%	Yes
PPP2R2A		1	1	122	0.8%	Yes
PPP2R2B		2	2	338	0.6%	No
PPP2R1B		2	2	396	0.5%	No
EHF		7	7	902	0.8%	No
PPP1R8		8	8	1181	0.7%	No
VAMP1		1	1	507	0.2%	No
VAMP7		2	2	697	0.3%	No
PPP1R10		4	4	1058	0.4%	No
PPP2CA		7	7	1093	0.6%	No
SYCP1		14	13	1238	1.1%	No
GALNT8		8	8	977	0.8%	No
PPP2CB		2	2	507	0.4%	No
SAMD3		10	10	1364	0.7%	No
PPP2R1A		13	13	2429	0.5%	Yes
FGF21		4	4	1116	0.4%	No
SYT5		7	7	1454	0.5%	No
PPP3CA		7	7	1179	0.6%	No
SYT4		4	4	723	0.6%	No
PPP4C		4	4	1116	0.4%	No
ME2		3	3	572	0.5%	No
MEA1		6	6	947	0.6%	No
PPP3CB		6	6	729	0.8%	No
TBXT		7	5	629	0.8%	No
PPP2R2C		2	2	338	0.6%	No
SYN1		9	7	1238	0.6%	No
PPP2R3A		6	6	1035	0.6%	No
PTPA		9	6	1091	0.5%	No
SYPL1		3	3	470	0.6%	No
SYP		5	4	1058	0.4%	No
PPP2R5A		2	2	255	0.8%	No
PPP2R5B		6	6	1238	0.5%	No
PPP2R5C		7	7	1389	0.5%	No
SYT1		4	4	528	0.8%	No
PPP2R5D		10	9	1432	0.6%	No
PPP2R5E		6	5	1238	0.4%	No
LINC02904		5	5	746	0.7%	No
TACR3		7	7	947	0.7%	No
TAF1		50	46	1913	2.4%	Yes
NPY4R		9	9	1374	0.7%	No
MEFV		18	17	1247	1.4%	No
TADA2A		4	4	977	0.4%	No
PRB1		3	3	809	0.4%	No
TAF4		6	6	824	0.7%	No
MEIS1		3	3	913	0.3%	No
TAF2		8	8	903	0.9%	No
MEIS2		5	5	978	0.5%	No
ZFP41		3	3	723	0.4%	No
COX16		1	1	180	0.6%	No
SIGLEC12		10	7	1035	0.7%	No
KLHL6		7	7	1215	0.6%	Yes
TACR2		8	8	1332	0.6%	No
PPP3CC		2	2	222	0.9%	No
PPP3R1		3	3	216	1.4%	No
SHISA5		2	2	122	1.6%	No
TMEM69		4	4	757	0.5%	No
MVB12B		2	2	370	0.5%	No
CFAP119		2	2	607	0.3%	No
MECP2		6	6	1027	0.6%	No
TACC1		4	4	776	0.5%	No
PPP3R2		4	4	593	0.7%	No
MEF2A		8	8	1184	0.7%	No
PPP5C		2	2	243	0.8%	No
PDZD11		1	1	216	0.5%	No
PPP6C		5	5	1040	0.5%	Yes
TACR1		1	1	216	0.5%	No
ADAM17		7	6	628	1.0%	No
PPT1		2	2	122	1.6%	No
MEF2C		5	5	845	0.6%	Yes
PPY		1	1	216	0.5%	No
MEF2D		1	1	122	0.8%	Yes
SCARA5		5	5	396	1.3%	No
TAF10		2	2	122	1.6%	No
PREP		5	4	819	0.5%	No
TAF9		1	1	122	0.8%	No
PRF1		5	5	1084	0.5%	Yes
TAF12		2	2	190	1.1%	No
MEN1		34	34	2623	1.3%	Yes
SRGN		4	3	868	0.3%	No
TAF11		4	4	338	1.2%	No
MAP3K7		5	5	1264	0.4%	Yes
MEOX1		2	2	507	0.4%	No
PRG2		1	1	507	0.2%	No
PRH1		2	2	419	0.5%	No
MEOX2		6	6	880	0.7%	No
IGKV1D-17		3	3	609	0.5%	No
IGKV1D-16		2	2	370	0.5%	No
MTRES1		1	1	30	3.3%	No
FAM178B		5	5	338	1.5%	No
NT5C3A		5	5	616	0.8%	No
ATG16L2		11	11	1432	0.8%	No
FCHSD1		3	3	868	0.3%	No
TBC1D7		2	2	281	0.7%	No
FGD3		10	10	845	1.2%	No
ABCC10		8	8	1135	0.7%	No
PRB3		8	7	1338	0.5%	No
TAGLN		1	1	190	0.5%	No
MRPL51		1	1	507	0.2%	No
MAP3K1		308	227	2780	8.2%	Yes
TAF4B		17	17	1238	1.4%	No
PRB4		6	5	919	0.5%	No
MARCHF2		1	1	507	0.2%	No
MAP3K3		5	5	666	0.8%	No
PRCC		6	6	796	0.8%	Yes
TAF6		5	5	1158	0.4%	No
MAP3K4		19	19	1554	1.2%	No
TAF5		12	12	890	1.3%	No
TMEM216		2	2	419	0.5%	No
PRCP		2	2	507	0.4%	No
MAP3K5		16	15	1454	1.0%	No
PRMT9		12	11	1554	0.7%	No
TAF7		3	3	868	0.3%	No
RAB8A		1	1	216	0.5%	No
PRELP		1	1	507	0.2%	No
ZNF479		7	7	1116	0.6%	No
TAP1		9	9	1547	0.6%	Yes
TRIQK		2	2	629	0.3%	No
TAPBP		3	3	455	0.7%	No
TAP2		11	11	1235	0.9%	Yes
PRKAA1		5	4	1142	0.4%	No
TARBP1		17	17	1454	1.2%	No
PRKAA2		10	8	909	0.9%	No
DPY19L4		3	3	913	0.3%	No
MEST		3	3	629	0.5%	No
JPT2		1	1	122	0.8%	No
MET		21	19	2494	0.8%	Yes
ALDH8A1		10	10	1315	0.8%	No
PRKAB1		2	2	746	0.3%	No
SPSB3		3	3	936	0.3%	No
TARBP2		12	12	1362	0.9%	No
PRKAB2		3	3	406	0.7%	No
METTL1		1	1	122	0.8%	No
NDST4		5	3	338	0.9%	No
PBDC1		9	9	1238	0.7%	No
MRPL30		2	2	746	0.3%	No
CDKL3		7	7	999	0.7%	No
CLEC1A		3	3	845	0.4%	No
CLEC1B		2	2	165	1.2%	No
MEP1A		11	11	1303	0.8%	No
TAL2		2	2	57	3.5%	Yes
PRH2		3	3	377	0.8%	No
CFAP91		14	12	788	1.5%	No
PIPOX		4	4	656	0.6%	No
MEP1B		2	2	312	0.6%	No
TAL1		2	2	122	1.6%	Yes
PRIM1		6	6	825	0.7%	No
TALDO1		1	1	239	0.4%	No
SLC25A21		3	3	845	0.4%	No
PRIM2		1	1	507	0.2%	No
FBXO43		9	9	1295	0.7%	No
AQP10		4	4	845	0.5%	No
TRIM15		2	1	122	0.8%	No
GPR135		3	3	222	1.4%	No
SEPTIN14		6	4	629	0.6%	No
CLEC7A		3	3	609	0.5%	No
MFGE8		7	7	1242	0.6%	No
PRKAG1		5	5	731	0.7%	No
MELTF		13	13	1397	0.9%	No
PRKAR1A		3	3	1227	0.2%	Yes
MFNG		1	1	30	3.3%	No
ZNF598		10	10	1173	0.9%	No
SPOCD1		14	13	972	1.3%	No
PRKAR2A		7	7	1295	0.5%	No
MGAT1		4	4	723	0.6%	No
TFDP3		7	6	947	0.6%	No
BET1L		1	1	507	0.2%	No
UBAP1		6	6	1173	0.5%	No
KLF3		1	1	507	0.2%	Yes
MANSC4		2	2	57	3.5%	No
